"MAE"t"beta"t"p"
"1"t28372,0340375502t0,935397343710065t0,768716096505523
"2"t t0,0218278057873249t0,506689042109065
"3"t230,492479016356t0,381807368947193t0,129921507649124
"4"t8585,13073402342t0,639925978146493t0,35518307229504
"5"t26755,1500017428t2,22259446373209t0,593044737610035
"6"t21957,0566436673t0,640305263455957t0,788724422850646
"7"t8177,59681984051t1,86581296822987t0,193028484494425
"8"t8884,63340623972t2,73269784799777t0,199953761906363
"9"t12414,1934074205t2,22302132891491t0,2806578976335
"10"t15900,7085085068t2,30012685363181t0,354857445461676
"11"t22629,871581332t2,46151266829111t0,497967647342011
"12"t15343,1970121197t2,33028690121137t0,342347720288672
"13"t24891,8159277178t0,866497951559722t0,706186101865023
"14"t11938,8074060472t2,3826003705617t0,26936142903287
"15"t t0,221879347460344t0,724063140805811
"16"t22880,3286194504t1,82430367567576t0,522357726562768
"17"t6256,82688620542t2,88012414425611t0,142648799857125
"18"t7373,83280461458t0,839044445659965t0,234958576736972
"19"t30993,6011947357t2,27642069617286t0,684467221144587
"20"t8607,2116256649t0,490506250876933t0,568376505770721
"21"t17306,5617695366t0,876088652294129t0,502812383580022
"22"t17177,1701588083t0,87323066778481t0,500770432827994
"23"t18079,5413803534t0,874017317779362t0,52724155781325
"24"t410,740446945563t0,320002370048314t0,218385206046514
"25"t17176,3570932666t1,09124133666046t0,450869913981296
"26"t24346,7809968705t2,15164732653648t0,541095903585665
"27"t14209,4103926861t0,513819482177496t0,735626467084512
"28"t13628,2802062892t0,552413874305785t0,636569069256075
"29"t30634,8616499852t1,92285131639801t0,690848317183554
"30"t24914,4756267522t1,36160275130533t0,604088755440898
"31"t4654,98808409167t0,813563585048541t0,157409946224652
"32"t31925,9960518568t1,77037114463747t0,723885129694827
"33"t32956,1807341281t1,99207922467031t0,735420062975027
"34"t t0,0440329117700458t0,795155628351495
"35"t31603,2802655485t2,28956381999888t0,696624581073411
"36"t30026,5087724848t1,07337699201889t0,771066460967995
"37"t253,101178956832t0,357470990158617t0,266581707866862
"38"t12265,9939371654t1,54568047262728t0,295073683862574
"39"t20804,3905769984t2,48552635777742t0,459078642120585
"40"t15400,635944324t1,83579573989846t0,357116865296848
"41"t28750,0364499329t2,36721642315388t0,633635364193469
"42"t8835,55243285971t0,704503635177389t0,322687050001696
"43"t11860,5274892008t1,83073083101772t0,277839562413283
"44"t6451,46903078087t1,21067185280845t0,170749001204967
"45"t15134,8806255083t1,0088112980593t0,412943420000374
"46"t8056,28587586056t1,29940247093327t0,206880725198425
"47"t27697,3629486071t1,33652585092932t0,669319338048808
"48"t27088,548060878t2,94881316111423t0,581182230194099
"49"t23554,5555852359t2,27095962222666t0,523791457270272
"50"t6449,16370607885t2,76364700985141t0,147523304494098
"51"t25540,6557361362t2,61421895166859t0,558143629995175
"52"t327,577817727439t0,350445010699332t0,151160813984461
"53"t18964,6297835311t1,65338768600486t0,444726441474631
"54"t t0,304525914369151t0,196156691457145
"55"t8874,71498115202t1,50731910648756t0,217328004539013
"56"t3875,15371144047t0,512743235332891t0,280608046171255
"57"t355,480171263619t0,314849313581362t0,706389334029518
"58"t21285,305582867t2,9071753998287t0,462512918631546
"59"t t0,257858397206292t0,105312993843108
"60"t6977,71983771764t0,546873379033059t0,385393689479679
"61"t442,160785434762t0,284944828832522t0,420993880275637
"62"t1620,94494175678t0,408307115547359t0,391657420457341
"63"t t0,0781582854688168t0,443982791667804
"64"t28110,9426558789t2,90114336460829t0,603313592681661
"65"t30297,9233205673t1,80448768800125t0,686640499089845
"66"t11756,3676750438t2,52512336033396t0,262949506682344
"67"t t0,24343934096396t0,409656855696812
"68"t9888,53786502406t0,910255206283182t0,291918592294678
"69"t33114,1519700814t2,04698564414866t0,735372417466715
"70"t22254,8503125845t2,92690986860543t0,482159774610773
"71"t4177,9629485337t1,3352808735799t0,111517501273192
"72"t29367,6171238968t1,48765597608872t0,691129141882993
"73"t16589,9203684274t1,8166697176639t0,38376609722618
"74"t2022,10882543077t0,45640342659317t0,260135010653175
"75"t6798,43803791536t0,677289979532361t0,266933857812546
"76"t26083,3621968598t2,67888407455757t0,56751295865979
"77"t24034,2057143851t2,99375974014401t0,517445380077697
"78"t1890,12282924116t0,35924933035858t0,724847418465652
"79"t13828,7714238623t1,20868881535716t0,354007550817914
"80"t24145,8973177364t2,83456044271588t0,523313379217871
"81"t9062,89104303932t0,655279977014288t0,360311897424981
"82"t11803,8599352593t2,7664273052942t0,262294952804223
"83"t15067,5104273466t1,28505507716909t0,376420860132203
"84"t t0,0510557927191257t0,202718139020726
"85"t t0,207995971664786t0,558863632171415
"86"t t0,016813954571262t0,199991571973078
"87"t22433,55453726t1,76183546008542t0,516664596740156
"88"t t0,186469279462472t0,275672224001028
"89"t16026,9071106164t2,75082362489775t0,350391785334796
"90"t21926,7471358121t1,27677546953782t0,540066126803868
"91"t7643,247675238t2,74682942451909t0,172517867735587
"92"t23579,554382603t2,8668428035453t0,510851472965442
"93"t5949,13731914328t1,01500282553025t0,170171000692062
