"MAE"t"theta"t"p"
"7893"t221,265052763347t0,520227134227753t0,100513643701561
"6337"t224,104935162902t0,514950741780922t0,109772636368871
"7041"t224,625575200386t0,513555331388488t0,108999068383127
"8190"t226,282422947319t0,51361091574654t0,101482663280331
"6757"t226,374957236184t0,513797753956169t0,112866972363554
"5359"t228,310560284638t0,510125678963959t0,109570346074179
"5825"t228,469868789766t0,522815201897174t0,109609568864107
"4880"t228,733292669777t0,527718495111912t0,106569520523772
"1519"t230,288656749784t0,500000884290785t0,122979288967326
"6410"t230,925283920571t0,502744433702901t0,119127331417985
"8051"t232,935270356193t0,494509799405932t0,125394123024307
"8147"t233,490394805531t0,48962862091139t0,138406171207316
"5590"t233,644421714445t0,503298463765532t0,107818370778114
"5281"t234,793825181522t0,512045284267515t0,124385745055042
"9978"t235,061668136472t0,486865922110155t0,147438793070614
"2535"t235,6928749348t0,485880859196186t0,147071941383183
"4453"t236,47317974416t0,503424427472055t0,104587491368875
"4345"t236,727374149409t0,472885661292821t0,160415222798474
"77"t238,806929099303t0,485062089050189t0,130019332864322
"2155"t238,97130221682t0,492943084565923t0,146376265003346
"5679"t239,229033946884t0,46489674737677t0,174014114052989
"7259"t239,242258417747t0,482765111606568t0,134455933887512
"9469"t240,720579356196t0,486024690791965t0,15488462052308
"4042"t241,124768724837t0,45409740996547t0,184708949667402
"9052"t241,178157417072t0,518124745925888t0,12479873939883
"6611"t241,880286042001t0,447345284977928t0,18394998612348
"4015"t241,90600378005t0,461979032028466t0,182521574967541
"9652"t241,990563143285t0,505200439598411t0,138566423207521
"3986"t242,007316626857t0,493012287886813t0,11376425223425
"4567"t242,168331762028t0,547030816087499t0,100416685710661
"1465"t242,198830020392t0,477688608225435t0,140032627480105
"1615"t242,264178769593t0,443454196210951t0,189382310747169
"4801"t242,810982210007t0,431513011455536t0,204118526005186
"7629"t243,228678751747t0,465786251006648t0,179771119565703
"5014"t243,887351636649t0,438298841705546t0,211582911992446
"5991"t244,258183070143t0,418465808499604t0,223870514798909
"3848"t244,470104468121t0,429985428461805t0,218601091764867
"4606"t244,786401301542t0,486630379455164t0,158971948549151
"4999"t244,838007150433t0,4188578708563t0,226805867929943
"8306"t244,970683072877t0,437165887560695t0,195167268882506
"8470"t245,103480056887t0,424689687089995t0,215113586327061
"8878"t245,518077102763t0,425591834587976t0,211019555525854
"3077"t245,723542949719t0,421982449479401t0,215064053982496
"1825"t246,062565294431t0,509155105100945t0,136779340566136
"3272"t246,10907290417t0,48358589084819t0,163284133281559
"7962"t246,394238881321t0,404798149364069t0,250360633153468
"9629"t246,733101057093t0,393740895902738t0,256225989549421
"3061"t246,877862616671t0,479226900497451t0,132056711008772
"4976"t246,902181465663t0,539340145885944t0,108681464311667
"9423"t246,935115102258t0,465100035537034t0,15107050971128
"6550"t247,164541604833t0,528600151883438t0,118024199292995
"276"t247,180125976214t0,405021955724806t0,249527893285267
"6432"t247,316025971802t0,369242452550679t0,279197896434926
"2939"t247,584353921166t0,37040487700142t0,277853022888303
"9197"t247,635905655255t0,487203256459907t0,161462299898267
"7918"t247,704260208827t0,38561809505336t0,266447524912655
"1522"t247,768783597372t0,35936438688077t0,290886275609955
"7616"t247,996410162558t0,362819543341175t0,289985283021815
"5838"t248,10788607196t0,374248585663736t0,276187251741067
"5936"t248,182354266007t0,40718039823696t0,230934459436685
"9078"t248,236286678648t0,369033240713179t0,287907158373855
