"MAE"t"beta"t"theta"t"p"
"1"t27,1329193094955t2,8265976968687t0,119427392492071t0,0235742330551147
"2"t38,815216121567t0,514490162953734t0,735951059265062t0,0253917197696865
"3"t68,6523221093812t2,82220891979523t0,149745995411649t0,0204109819605947
"4"t74,3491379484308t1,15110728703439t0,289896194590256t0,0295483241789043
"5"t77,0069942833434t0,354449744336307t0,991201200522482t0,027778392424807
"6"t81,0634894287976t2,63538571447134t0,108689589658752t0,03084557200782
"7"t86,2271477577577t1,90072166360915t0,24882674519904t0,019025165354833
"8"t100,558966653601t0,474720417754725t0,88596364040859t0,0250667752698064
"9"t104,296769811472t0,540516383014619t0,677653860766441t0,0320471543818712
"10"t106,014567592458t1,01751485466957t0,483580328756943t0,0174441658891737
"11"t115,388543477471t0,714627793757245t0,767267418792471t0,0180045976303518
"12"t125,024756833819t2,65434565348551t0,115336860762909t0,0225505121052265
"13"t130,050556663629t2,75731078837998t0,0851005660369992t0,0355935194529593
"14"t139,757284117057t2,10851048282348t0,234740604180843t0,0204368284903467
"15"t142,119552993809t1,66267857584171t0,325031058164313t0,0194803094491363
"16"t145,661434631145t0,464541192166507t0,750703066354617t0,0227033575065434
"17"t155,015349241753t0,615495146485046t0,863809186732396t0,0147498268634081
"18"t160,799129986264t0,77455751853995t0,461864019744098t0,0193686680868268
"19"t169,004073852792t2,59989434760064t0,193629435030743t0,0207679783925414
"20"t175,821253833395t1,53602534369566t0,451880069449544t0,0155378174968064
"21"t180,638647941642t1,91587659926154t0,384122823132202t0,0158097720704973
"22"t186,349255459821t1,96502655465156t0,101447092602029t0,0567134374286979
"23"t189,39560051659t1,34102747915313t0,540448756888509t0,018075036816299
"24"t195,440379085333t0,642596316989511t0,988894851645455t0,0132551051210612
"25"t197,208393703911t0,863973989384249t0,417957439552993t0,0169619699008763
"26"t197,524898489513t1,46646804129705t0,455904317554086t0,013616745127365
"27"t197,777396776961t0,416588057298213t0,687845683190972t0,0557686984539032
"28"t197,971321606413t2,9244811842218t0,234882585238665t0,0182848309632391
"29"t198,976760367682t2,96660592849366t0,165079091209918t0,0128180533647537
